Category,Variant,Jurisdiction Fit,Source URL,Notes
Employment Contract,Standard Permanent (SA SME Labour Support),South Africa,https://smelaboursupport.org.za/download/template-permanent-contract-of-employment/,BCEA-aligned; use for full-time hires; add company-specific policies.
Employment Contract,Plain-English Essentials (Labour Guide Example),South Africa/Namibia (adapt),https://labourguide.co.za/employment-condition/contract-of-employment-example,Good clause structure; update leave/notice to local statutes.
Employment Contract,Small Business Short-Form (UIF Services),South Africa,https://www.uifservices.co.za/wp-content/uploads/2013/11/Employment_Contract_SmallBusiness.pdf,Compact; ideal for SMEs; verify hours/leave with BCEA.
Employment Contract (Reference),Namibia Labour General Regulations (2008),Namibia,https://ejustice.moj.na/High%20Court/LegislationAndDirectives/Regulations/Labour%20General%20Regulations%20%20Labour%20Act%202007.pdf,"Use to verify remuneration statements, leave, H&S reps."
Employment Contract (Reference),Labour Act 11 of 2007 (Profile),Namibia,https://genderlex.fao.org/undefined/country/profiles/NAM/document/LEX-FAOC210939,Primary statute; check minimum terms and protections.
Employment Contract (Policy Example),Legal Assistance Centre Employment Policy,Namibia,https://www.lac.org.na/about/policy-pdf/employment.pdf,Shows how Namibian NGOs frame terms under Labour Act.
Non-Disclosure Agreement,Mutual NDA (LegalWise SA),South Africa/SADC (adapt),https://www.legalwise.co.za/help-yourself/contracts,Well-known SA source; ensure jurisdiction & governing law updates.
Non-Disclosure Agreement,One-way NDA (Law For All SA),South Africa/SADC (adapt),https://lawforall.co.za/legal-articles/free-legal-contract-templates/,Simple one-way form; add duration & exclusions.
Non-Disclosure Agreement,Comprehensive NDA (DocxTemplates),Botswana/Region (adapt),https://www.docxtemplates.org/legal-forms/non-disclosure-agreement-template/,Use for cross-border work; customize dispute resolution.
Residential Lease,Plain Lease (LegalWise SA),South Africa,https://www.legalwise.co.za/help-yourself/contracts,Includes deposit/inspection; compliant with Rental Housing Act.
Residential Lease,Comprehensive Lease (Property24 Sample),South Africa,https://www.property24.com/articles/free-lease-agreement-template/26926,Detailed; add CPA compliance where applicable.
Residential Lease,Botswana Tenancy Guidance (Minchin & Kelly),Botswana,https://minchinkelly.bw/publications/holdover-or-squatters-and-tenants-rights-in-botswana/,Legal guidance; pair with SA/Namibia template and localize.
Services Agreement,Consulting Agreement (LegalWise SA),South Africa/SADC (adapt),https://www.legalwise.co.za/help-yourself/contracts,"Scope, payment, IP; add POPIA/GDPR clauses where needed."
Services Agreement,Service Level Agreement (SLA) Sample,South Africa/SADC (adapt),https://www.tools4dev.org/resources/service-level-agreement-template/,NGO/IT-friendly SLA; define KPIs & remedies.
